year,category,name,film,result
1949,Actor,Clifton Webb,Sitting Pretty,Nominee
1949,Actress,Jane Wyman,Johnny Belinda,Winner
1949,Actress,Ingrid Bergman,Joan of Arc,Nominee
1949,Actress,Olivia de Havilland,The Snake Pit,Nominee
1949,Actress,Irene Dunne,I Remember Mama,Nominee
1949,Actress,Barbara Stanwyck,"Sorry, Wrong Number",Nominee
1949,Directing,John Huston,The Treasure of the Sierra Madre,Winner
1949,Directing,Laurence Olivier,Hamlet,Nominee
1949,Directing,Jean Negulesco,Johnny Belinda,Nominee
1949,Directing,Fred Zinnemann,The Search,Nominee
1949,Directing,Anatole Litvak,The Snake Pit,Nominee
1950,Actor,Broderick Crawford,All the King's Men,Winner
1950,Actor,Kirk Douglas,Champion,Nominee
1950,Actor,Gregory Peck,Twelve O'Clock High,Nominee
1950,Actor,Richard Todd,The Hasty Heart,Nominee
1950,Actor,John Wayne,Sands of Iwo Jima,Nominee
1950,Actress,Olivia de Havilland,The Heiress,Winner
1950,Actress,Jeanne Crain,Pinky,Nominee
1950,Actress,Susan Hayward,My Foolish Heart,Nominee
1950,Actress,Deborah Kerr,"Edward, My Son",Nominee
1950,Actress,Loretta Young,Come to the Stable,Nominee
1950,Directing,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
1950,Directing,Robert Rossen,All the King's Men,Nominee
1950,Directing,William A. Wellman,Battleground,Nominee
1950,Directing,Carol Reed,The Fallen Idol,Nominee
1950,Directing,William Wyler,The Heiress,Nominee
1951,Actor,José Ferrer,Cyrano de Bergerac,Winner
1951,Actor,Louis Calhern,The Magnificent Yankee,Nominee
1951,Actor,William Holden,Sunset Blvd.,Nominee
1951,Actor,James Stewart,Harvey,Nominee
1951,Actor,Spencer Tracy,Father of the Bride,Nominee
1951,Actress,Judy Holliday,Born Yesterday,Winner
1951,Actress,Anne Baxter,All about Eve,Nominee
1951,Actress,Bette Davis,All about Eve,Nominee
1951,Actress,Eleanor Parker,Caged,Nominee
1951,Actress,Gloria Swanson,Sunset Blvd.,Nominee
1951,Directing,Joseph L. Mankiewicz,All about Eve,Winner
1951,Directing,John Huston,The Asphalt Jungle,Nominee
1951,Directing,George Cukor,Born Yesterday,Nominee
1951,Directing,Billy Wilder,Sunset Blvd.,Nominee
1951,Directing,Carol Reed,The Third Man,Nominee
1952,Actor,Humphrey Bogart,The African Queen,Winner
1952,Actor,Marlon Brando,A Streetcar Named Desire,Nominee
1952,Actor,Montgomery Clift,A Place in the Sun,Nominee
1952,Actor,Arthur Kennedy,Bright Victory,Nominee
1952,Actor,Fredric March,Death of a Salesman,Nominee
1952,Actress,Vivien Leigh,A Streetcar Named Desire,Winner
1952,Actress,Katharine Hepburn,The African Queen,Nominee
1952,Actress,Eleanor Parker,Detective Story,Nominee
1952,Actress,Shelley Winters,A Place in the Sun,Nominee
1952,Actress,Jane Wyman,The Blue Veil,Nominee
1952,Directing,George Stevens,A Place in the Sun,Winner
1952,Directing,John Huston,The African Queen,Nominee
1952,Directing,Vincente Minnelli,An American in Paris,Nominee
1952,Directing,William Wyler,Detective Story,Nominee
1952,Directing,Elia Kazan,A Streetcar Named Desire,Nominee
1953,Actor,Gary Cooper,High Noon,Winner
1953,Actor,Marlon Brando,Viva Zapata!,Nominee
1953,Actor,Kirk Douglas,The Bad and the Beautiful,Nominee
1953,Actor,José Ferrer,Moulin Rouge,Nominee
1953,Actor,Alec Guinness,The Lavender Hill Mob,Nominee
1953,Actress,Shirley Booth,"Come Back, Little Sheba",Winner
1953,Actress,Joan Crawford,Sudden Fear,Nominee
1953,Actress,Bette Davis,The Star,Nominee
1953,Actress,Julie Harris,The Member of the Wedding,Nominee
1953,Actress,Susan Hayward,With a Song in My Heart,Nominee
1953,Directing,John Ford,The Quiet Man,Winner
1953,Directing,Joseph L. Mankiewicz,Five Fingers,Nominee
1953,Directing,Cecil B. DeMille,The Greatest Show on Earth,Nominee
1953,Directing,Fred Zinnemann,High Noon,Nominee
1953,Directing,John Huston,Moulin Rouge,Nominee
1954,Actor,William Holden,Stalag 17,Winner
1954,Actor,Marlon Brando,Julius Caesar,Nominee
1954,Actor,Richard Burton,The Robe,Nominee
1954,Actor,Montgomery Clift,From Here to Eternity,Nominee
1954,Actor,Burt Lancaster,From Here to Eternity,Nominee
1954,Actress,Audrey Hepburn,Roman Holiday,Winner
1954,Actress,Leslie Caron,Lili,Nominee
1954,Actress,Ava Gardner,Mogambo,Nominee
1954,Actress,Deborah Kerr,From Here to Eternity,Nominee
1954,Actress,Maggie McNamara,The Moon Is Blue,Nominee
1954,Directing,Fred Zinnemann,From Here to Eternity,Winner
1954,Directing,Charles Walters,Lili,Nominee
1954,Directing,William Wyler,Roman Holiday,Nominee
1954,Directing,George Stevens,Shane,Nominee
1954,Directing,Billy Wilder,Stalag 17,Nominee
1955,Actor,Marlon Brando,On the Waterfront,Winner
1955,Actor,Humphrey Bogart,The Caine Mutiny,Nominee
1955,Actor,Bing Crosby,The Country Girl,Nominee
1955,Actor,James Mason,A Star Is Born,Nominee
1955,Actor,Dan O'Herlihy,Adventures of Robinson Crusoe,Nominee
1955,Actress,Grace Kelly,The Country Girl,Winner
1955,Actress,Dorothy Dandridge,Carmen Jones,Nominee
1955,Actress,Judy Garland,A Star Is Born,Nominee
1955,Actress,Audrey Hepburn,Sabrina,Nominee
1955,Actress,Jane Wyman,Magnificent Obsession,Nominee
1955,Directing,Elia Kazan,On the Waterfront,Winner
1955,Directing,George Seaton,The Country Girl,Nominee
1955,Directing,William Wellman,The High and the Mighty,Nominee
1955,Directing,Alfred Hitchcock,Rear Window,Nominee
1955,Directing,Billy Wilder,Sabrina,Nominee
1956,Actor,Ernest Borgnine,Marty,Winner
1956,Actor,James Cagney,Love Me or Leave Me,Nominee
1956,Actor,James Dean,East of Eden,Nominee
1956,Actor,Frank Sinatra,The Man with the Golden Arm,Nominee
1956,Actor,Spencer Tracy,Bad Day at Black Rock,Nominee
1956,Actress,Anna Magnani,The Rose Tattoo,Winner
1956,Actress,Susan Hayward,I'll Cry Tomorrow,Nominee
1956,Actress,Katharine Hepburn,Summertime,Nominee
1956,Actress,Jennifer Jones,Love Is a Many-Splendored Thing,Nominee
1956,Actress,Eleanor Parker,Interrupted Melody,Nominee
1956,Directing,Delbert Mann,Marty,Winner
1956,Directing,John Sturges,Bad Day at Black Rock,Nominee
1956,Directing,Elia Kazan,East of Eden,Nominee
1956,Directing,Joshua Logan,Picnic,Nominee
1956,Directing,David Lean,Summertime,Nominee
1957,Actor,Yul Brynner,The King and I,Winner
1957,Actor,James Dean,Giant,Nominee
1957,Actor,Kirk Douglas,Lust for Life,Nominee
1957,Actor,Rock Hudson,Giant,Nominee
1957,Actor,Sir Laurence Olivier,Richard III,Nominee
1957,Actress,Ingrid Bergman,Anastasia,Winner
1957,Actress,Carroll Baker,Baby Doll,Nominee
1957,Actress,Katharine Hepburn,The Rainmaker,Nominee
1957,Actress,Nancy Kelly,The Bad Seed,Nominee
1957,Actress,Deborah Kerr,The King and I,Nominee
1957,Directing,George Stevens,Giant,Winner
1957,Directing,Michael Anderson,Around the World in 80 Days,Nominee
1957,Directing,William Wyler,Friendly Persuasion,Nominee
1957,Directing,Walter Lang,The King and I,Nominee
1957,Directing,King Vidor,War and Peace,Nominee
1958,Actor,Alec Guinness,The Bridge on the River Kwai,Winner
1958,Actor,Marlon Brando,Sayonara,Nominee
1958,Actor,Anthony Franciosa,A Hatful of Rain,Nominee
1958,Actor,Charles Laughton,Witness for the Prosecution,Nominee
1958,Actor,Anthony Quinn,Wild Is the Wind,Nominee
1958,Actress,Joanne Woodward,The Three Faces of Eve,Winner
1958,Actress,Deborah Kerr,"Heaven Knows, Mr. Allison",Nominee
1958,Actress,Anna Magnani,Wild Is the Wind,Nominee
1958,Actress,Elizabeth Taylor,Raintree County,Nominee
1958,Actress,Lana Turner,Peyton Place,Nominee
1958,Directing,David Lean,The Bridge on the River Kwai,Winner
1958,Directing,Mark Robson,Peyton Place,Nominee
1958,Directing,Joshua Logan,Sayonara,Nominee
1958,Directing,Sidney Lumet,12 Angry Men,Nominee
1958,Directing,Billy Wilder,Witness for the Prosecution,Nominee
1959,Actor,David Niven,Separate Tables,Winner
1959,Actor,Tony Curtis,The Defiant Ones,Nominee
1959,Actor,Paul Newman,Cat on a Hot Tin Roof,Nominee
1959,Actor,Sidney Poitier,The Defiant Ones,Nominee
1959,Actor,Spencer Tracy,The Old Man and the Sea,Nominee
1959,Actress,Susan Hayward,I Want to Live!,Winner
1959,Actress,Deborah Kerr,Separate Tables,Nominee
1959,Actress,Shirley MacLaine,Some Came Running,Nominee
1959,Actress,Rosalind Russell,Auntie Mame,Nominee
1959,Actress,Elizabeth Taylor,Cat on a Hot Tin Roof,Nominee
1959,Directing,Vincente Minnelli,Gigi,Winner
1959,Directing,Richard Brooks,Cat on a Hot Tin Roof,Nominee
1959,Directing,Stanley Kramer,The Defiant Ones,Nominee
1959,Directing,Robert Wise,I Want to Live!,Nominee
1959,Directing,Mark Robson,The Inn of the Sixth Happiness,Nominee
1960,Actor,Charlton Heston,Ben-Hur,Winner
1960,Actor,Laurence Harvey,Room at the Top,Nominee
1960,Actor,Jack Lemmon,Some Like It Hot,Nominee
1960,Actor,Paul Muni,The Last Angry Man,Nominee
1960,Actor,James Stewart,Anatomy of a Murder,Nominee
1960,Actress,Simone Signoret,Room at the Top,Winner
1960,Actress,Doris Day,Pillow Talk,Nominee
1960,Actress,Audrey Hepburn,The Nun's Story,Nominee
1960,Actress,Katharine Hepburn,"Suddenly, Last Summer",Nominee
1960,Actress,Elizabeth Taylor,"Suddenly, Last Summer",Nominee
1960,Directing,William Wyler,Ben-Hur,Winner
1960,Directing,George Stevens,The Diary of Anne Frank,Nominee
1960,Directing,Fred Zinnemann,The Nun's Story,Nominee
1960,Directing,Jack Clayton,Room at the Top,Nominee
1960,Directing,Billy Wilder,Some Like It Hot,Nominee
1961,Actor,Burt Lancaster,Elmer Gantry,Winner
1961,Actor,Trevor Howard,Sons and Lovers,Nominee
1961,Actor,Jack Lemmon,The Apartment,Nominee
1961,Actor,Laurence Olivier,The Entertainer,Nominee
1961,Actor,Spencer Tracy,Inherit the Wind,Nominee
1961,Actress,Elizabeth Taylor,Butterfield 8,Winner
1961,Actress,Greer Garson,Sunrise at Campobello,Nominee
1961,Actress,Deborah Kerr,The Sundowners,Nominee
1961,Actress,Shirley MacLaine,The Apartment,Nominee
1961,Actress,Melina Mercouri,Never on Sunday,Nominee
1961,Directing,Billy Wilder,The Apartment,Winner
1961,Directing,Jules Dassin,Never on Sunday,Nominee
1961,Directing,Alfred Hitchcock,Psycho,Nominee
1961,Directing,Jack Cardiff,Sons and Lovers,Nominee
1961,Directing,Fred Zinnemann,The Sundowners,Nominee
1962,Actor,Maximilian Schell,Judgment at Nuremberg,Winner
1962,Actor,Charles Boyer,Fanny,Nominee
1962,Actor,Paul Newman,The Hustler,Nominee
1962,Actor,Spencer Tracy,Judgment at Nuremberg,Nominee
1962,Actor,Stuart Whitman,The Mark,Nominee
1962,Actress,Sophia Loren,Two Women,Winner
1962,Actress,Audrey Hepburn,Breakfast at Tiffany's,Nominee
1962,Actress,Piper Laurie,The Hustler,Nominee
1962,Actress,Geraldine Page,Summer and Smoke,Nominee
1962,Actress,Natalie Wood,Splendor in the Grass,Nominee
1962,Directing,"Robert Wise, Jerome Robbins",West Side Story,Winner
1962,Directing,J. Lee Thompson,The Guns of Navarone,Nominee
1962,Directing,Robert Rossen,The Hustler,Nominee
1962,Directing,Stanley Kramer,Judgment at Nuremberg,Nominee
1962,Directing,Federico Fellini,La Dolce Vita,Nominee
1963,Actor,Gregory Peck,To Kill a Mockingbird,Winner
1963,Actor,Burt Lancaster,Birdman of Alcatraz,Nominee
1963,Actor,Jack Lemmon,Days of Wine and Roses,Nominee
1963,Actor,Marcello Mastroianni,Divorce--Italian Style,Nominee
1963,Actor,Peter O'Toole,Lawrence of Arabia,Nominee
1963,Actress,Anne Bancroft,The Miracle Worker,Winner
