year category name film result
1940 "Outstanding Production" "The Wizard of Oz" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Wuthering Heights" "Samuel Goldwyn Productions" Nominee
1940 "Special Effects" "The Rains Came" "Fred Sersen, E. H. Hansen" Winner
1940 "Special Effects" "Gone with the Wind" "John R. Cosgrove, Fred Albin, Arthur Johns" Nominee
1940 "Special Effects" "Only Angels Have Wings" "Roy Davidson, Edwin C. Hahn" Nominee
1940 "Special Effects" "The Private Lives of Elizabeth and Essex" "Byron Haskin, Nathan Levinson" Nominee
1940 "Special Effects" "Topper Takes a Trip" "Roy Seawright" Nominee
1940 "Special Effects" "Union Pacific" "Farciot Edouart, Gordon Jennings, Loren Ryder" Nominee
1940 "Special Effects" "The Wizard of Oz" "A. Arnold Gillespie, Douglas Shearer" Nominee
1941 Actor "James Stewart" "The Philadelphia Story" Winner
1941 Actor "Charles Chaplin" "The Great Dictator" Nominee
1941 Actor "Henry Fonda" "The Grapes of Wrath" Nominee
1941 Actor "Raymond Massey" "Abe Lincoln in Illinois" Nominee
1941 Actor "Laurence Olivier" Rebecca Nominee
1941 Actress "Ginger Rogers" "Kitty Foyle" Winner
1941 Actress "Bette Davis" "The Letter" Nominee
1941 Actress "Joan Fontaine" Rebecca Nominee
1941 Actress "Katharine Hepburn" "The Philadelphia Story" Nominee
1941 Actress "Martha Scott" "Our Town" Nominee
1941 Directing "John Ford" "The Grapes of Wrath" Winner
1941 Directing "Sam Wood" "Kitty Foyle" Nominee
1941 Directing "William Wyler" "The Letter" Nominee
1941 Directing "George Cukor" "The Philadelphia Story" Nominee
1941 Directing "Alfred Hitchcock" Rebecca Nominee
1941 "Outstanding Production" Rebecca "Selznick International Pictures" Winner
1941 "Outstanding Production" "All This, and Heaven Too" "Warner Bros." Nominee
1941 "Outstanding Production" "Foreign Correspondent" "Walter Wanger (production company)" Nominee
1941 "Outstanding Production" "The Grapes of Wrath" "20th Century-Fox" Nominee
1941 "Outstanding Production" "The Great Dictator" "Charles Chaplin Productions" Nominee
1941 "Outstanding Production" "Kitty Foyle" "RKO Radio" Nominee
1941 "Outstanding Production" "The Letter" "Warner Bros." Nominee
1941 "Outstanding Production" "The Long Voyage Home" Argosy-Wanger Nominee
1941 "Outstanding Production" "Our Town" "Sol Lesser (production company)" Nominee
1941 "Outstanding Production" "The Philadelphia Story" Metro-Goldwyn-Mayer Nominee
1941 "Special Effects" "The Thief of Bagdad" "Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney" Winner
1941 "Special Effects" "The Blue Bird" "Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen" Nominee
1941 "Special Effects" "Boom Town" "Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer" Nominee
1941 "Special Effects" "The Boys from Syracuse" "Photographic Effects by John P. Fulton; Sound Effects by Bernard B. Brown, Joseph Lapis" Nominee
1941 "Special Effects" "Dr. Cyclops" "Photographic Effects by Gordon Jennings, Farciot Edouart" Nominee
1941 "Special Effects" "Foreign Correspondent" "Photographic Effects by Paul Eagler; Sound Effects by Thomas T. Moulton" Nominee
1941 "Special Effects" "The Invisible Man Returns" "Photographic Effects by John P. Fulton; Sound Effects by Bernard B. Brown, William Hedgecock" Nominee
1941 "Special Effects" "The Long Voyage Home" "Photographic Effects by R. T. Layton, R. O. Binger; Sound Effects by Thomas T. Moulton" Nominee
1941 "Special Effects" "One Million B.C." "Photographic Effects by Roy Seawright; Sound Effects by Elmer Raguse" Nominee
1941 "Special Effects" Rebecca "Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns" Nominee
1941 "Special Effects" "The Sea Hawk" "Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson" Nominee
1941 "Special Effects" "Swiss Family Robinson" "Photographic Effects by Vernon L. Walker; Sound Effects by John O. Aalberg" Nominee
1941 "Special Effects" Typhoon "Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Loren Ryder" Nominee
1941 "Special Effects" "Women in War" "Photographic Effects by Howard J. Lydecker, William Bradford, Ellis J. Thackery; Sound Effects by Herbert Norsch" Nominee
1942 Actor "Gary Cooper" "Sergeant York" Winner
1942 Actor "Cary Grant" "Penny Serenade" Nominee
1942 Actor "Walter Huston" "All That Money Can Buy" Nominee
1942 Actor "Robert Montgomery" "Here Comes Mr. Jordan" Nominee
1942 Actor "Orson Welles" "Citizen Kane" Nominee
1942 Actress "Joan Fontaine" Suspicion Winner
1942 Actress "Bette Davis" "The Little Foxes" Nominee
1942 Actress "Olivia de Havilland" "Hold Back the Dawn" Nominee
1942 Actress "Greer Garson" "Blossoms in the Dust" Nominee
1942 Actress "Barbara Stanwyck" "Ball of Fire" Nominee
1942 Directing "John Ford" "How Green Was My Valley" Winner
1942 Directing "Orson Welles" "Citizen Kane" Nominee
1942 Directing "Alexander Hall" "Here Comes Mr. Jordan" Nominee
1942 Directing "William Wyler" "The Little Foxes" Nominee
1942 Directing "Howard Hawks" "Sergeant York" Nominee
1942 "Special Effects" "I Wanted Wings" "Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop" Winner
1942 "Special Effects" "Aloma of the South Seas" "Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop" Nominee
1942 "Special Effects" "Flight Command" "Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer" Nominee
1942 "Special Effects" "The Invisible Woman" "Photographic Effects by John Fulton; Sound Effects by John Hall" Nominee
1942 "Special Effects" "The Sea Wolf" "Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson" Nominee
1942 "Special Effects" "That Hamilton Woman" "Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth" Nominee
1942 "Special Effects" "Topper Returns" "Photographic Effects by Roy Seawright; Sound Effects by Elmer Raguse" Nominee
1942 "Special Effects" "A Yank in the R.A.F." "Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen" Nominee
1943 Actor "James Cagney" "Yankee Doodle Dandy" Winner
1943 Actor "Ronald Colman" "Random Harvest" Nominee
1943 Actor "Gary Cooper" "The Pride of the Yankees" Nominee
1943 Actor "Walter Pidgeon" "Mrs. Miniver" Nominee
1943 Actor "Monty Woolley" "The Pied Piper" Nominee
1943 Actress "Greer Garson" "Mrs. Miniver" Winner
1943 Actress "Bette Davis" "Now, Voyager" Nominee
1943 Actress "Katharine Hepburn" "Woman of the Year" Nominee
1943 Actress "Rosalind Russell" "My Sister Eileen" Nominee
1943 Actress "Teresa Wright" "The Pride of the Yankees" Nominee
1943 Directing "William Wyler" "Mrs. Miniver" Winner
1943 Directing "Sam Wood" "Kings Row" Nominee
1943 Directing "Mervyn LeRoy" "Random Harvest" Nominee
1943 Directing "John Farrow" "Wake Island" Nominee
1943 Directing "Michael Curtiz" "Yankee Doodle Dandy" Nominee
1943 "Special Effects" "Reap the Wild Wind" "Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop" Winner
1943 "Special Effects" "The Black Swan" "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, George Leverett" Nominee
1943 "Special Effects" "Desperate Journey" "Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson" Nominee
1943 "Special Effects" "Flying Tigers" "Photographic Effects by Howard Lydecker; Sound Effects by Daniel J. Bloomberg" Nominee
1943 "Special Effects" "Invisible Agent" "Photographic Effects by John Fulton; Sound Effects by Bernard B. Brown" Nominee
1943 "Special Effects" "Jungle Book" "Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth" Nominee
1943 "Special Effects" "Mrs. Miniver" "Photographic Effects by A. Arnold Gillespie, Warren Newcombe; Sound Effects by Douglas Shearer" Nominee
1943 "Special Effects" "The Navy Comes Through" "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart" Nominee
1943 "Special Effects" "One of Our Aircraft Is Missing" "Photographic Effects by Ronald Neame; Sound Effects by C. C. Stevens" Nominee
1943 "Special Effects" "The Pride of the Yankees" "Photographic Effects by Jack Cosgrove, Ray Binger; Sound Effects by Thomas T. Moulton" Nominee
1944 Actor "Paul Lukas" "Watch on the Rhine" Winner
1944 Actor "Humphrey Bogart" Casablanca Nominee
1944 Actor "Gary Cooper" "For Whom the Bell Tolls" Nominee
1944 Actor "Walter Pidgeon" "Madame Curie" Nominee
1944 Actor "Mickey Rooney" "The Human Comedy" Nominee
1944 Actress "Jennifer Jones" "The Song of Bernadette" Winner
1944 Actress "Jean Arthur" "The More the Merrier" Nominee
1944 Actress "Ingrid Bergman" "For Whom the Bell Tolls" Nominee
1944 Actress "Joan Fontaine" "The Constant Nymph" Nominee
1944 Actress "Greer Garson" "Madame Curie" Nominee
1944 Directing "Michael Curtiz" Casablanca Winner
1944 Directing "Ernst Lubitsch" "Heaven Can Wait" Nominee
1944 Directing "Clarence Brown" "The Human Comedy" Nominee
1944 Directing "George Stevens" "The More the Merrier" Nominee
1944 Directing "Henry King" "The Song of Bernadette" Nominee
1944 "Special Effects" "Crash Dive" "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman" Winner
1944 "Special Effects" "Air Force" "Photographic Effects by Hans Koenekamp, Rex Wimpy; Sound Effects by Nathan Levinson" Nominee
1944 "Special Effects" Bombardier "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville" Nominee
1944 "Special Effects" "The North Star" "Photographic Effects by Clarence Slifer, R. O. Binger; Sound Effects by Thomas T. Moulton" Nominee
1944 "Special Effects" "So Proudly We Hail!" "Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton" Nominee
1944 "Special Effects" "Stand By for Action" "Photographic Effects by A. Arnold Gillespie, Donald Jahraus; Sound Effects by Michael Steinore" Nominee
1945 Actor "Bing Crosby" "Going My Way" Winner
1945 Actor "Charles Boyer" Gaslight Nominee
1945 Actor "Barry Fitzgerald" "Going My Way" Nominee
1945 Actor "Cary Grant" "None but the Lonely Heart" Nominee
1945 Actor "Alexander Knox" Wilson Nominee
1945 Actress "Ingrid Bergman" Gaslight Winner
1945 Actress "Claudette Colbert" "Since You Went Away" Nominee
1945 Actress "Bette Davis" "Mr. Skeffington" Nominee
1945 Actress "Greer Garson" "Mrs. Parkington" Nominee
1945 Actress "Barbara Stanwyck" "Double Indemnity" Nominee
1945 Directing "Leo McCarey" "Going My Way" Winner
1945 Directing "Billy Wilder" "Double Indemnity" Nominee
1945 Directing "Otto Preminger" Laura Nominee
1945 Directing "Alfred Hitchcock" Lifeboat Nominee
1945 Directing "Henry King" Wilson Nominee
1945 "Best Motion Picture" "Going My Way" Paramount Winner
1945 "Best Motion Picture" "Double Indemnity" Paramount Nominee
1945 "Best Motion Picture" Gaslight Metro-Goldwyn-Mayer Nominee
1945 "Best Motion Picture" "Since You Went Away" "Selznick International Pictures" Nominee
1945 "Best Motion Picture" Wilson "20th Century-Fox" Nominee
1945 "Special Effects" "Thirty Seconds over Tokyo" "Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer" Winner
1945 "Special Effects" "The Adventures of Mark Twain" "Photographic Effects by Paul Detlefsen, John Crouse; Sound Effects by Nathan Levinson" Nominee
1945 "Special Effects" "Days of Glory" "Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville" Nominee
1945 "Special Effects" "Secret Command" "Photographic Effects by David Allen, Ray Cory, Robert Wright; Sound Effects by Russell Malmgren, Harry Kusnick" Nominee
1945 "Special Effects" "Since You Went Away" "Photographic Effects by John R. Cosgrove; Sound Effects by Arthur Johns" Nominee
1945 "Special Effects" "The Story of Dr. Wassell" "Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton" Nominee
1945 "Special Effects" Wilson "Photographic Effects by Fred Sersen; Sound Effects by Roger Heman" Nominee
1946 Actor "Ray Milland" "The Lost Weekend" Winner
1946 Actor "Bing Crosby" "The Bells of St. Mary's" Nominee
1946 Actor "Gene Kelly" "Anchors Aweigh" Nominee
1946 Actor "Gregory Peck" "The Keys of the Kingdom" Nominee
